Organism Name;SeqName;Name of element;Size (bp);ORF-1 RRM;ORF-1 DUF;ORF-1 zf-CCHC;EEP;RT;RVT;RH;GTT;Poli-A
Ceratopteris richardii Brongn.;L1_Ceratopteris_richardii_seq3;L1_seq3;6155;;256-597;;1458-2147;2949-3740;4695-4880;5634-5768;;6146-6155
Ceratopteris richardii Brongn.;L1_Ceratopteris_richardii_seq4;L1_seq4;4156;;;;264-959;1746-2540;3455-3679;;;4126-4156
Ceratopteris richardii Brongn.;L1_Ceratopteris_richardii_seq5;L1_seq5;6033;;271-612;;1449-2138;2946-3740;5333-5542;;;6021-6033
Taxus chinensis Roxb.;L1_Taxus_chinensis_seq1;L1_seq1;6135;;77-490;;1788-2483;3294-4082;4884-5126;5526-5888;;6128-6135
Taxus chinensis Roxb.;L1_Taxus_chinensis_seq2;L1_seq2;6163;;117-539;;1582-2214;3088-3846;4679-4930;5330-5692;;6153-6163
Taxus chinensis Roxb.;L1_Taxus_chinensis_seq3;L1_seq3;6228;;84-488;;1549-2244;3059-3847;4649-4900;5291-5653;;6217-6228
Sequoiadendron giganteum (Lindl.) J.Buchholz;L1_Sequoiadendron_giganteum_seq1;L1_seq1;5898;;313-723;;1515-2192;3018-3815;4647-4907;5325-5693;;5888-5898
Sequoiadendron giganteum (Lindl.) J.Buchholz;L1_Sequoiadendron_giganteum_seq2;L1_seq2;5908;;320-730;;1507-2205;3013-3807;4639-4899;5317-5685;;5894-5908
Sequoiadendron giganteum (Lindl.) J.Buchholz;L1_Sequoiadendron_giganteum_seq3;L1_seq3;6154;;242-457;;1695-2387;3192-3986;4890-5054;5451-5831;;6148-6154
Cupressus sempervirens L.;L1_Cupressus_sempervirens_seq1;L1_seq1;6210;;298-630;;1515-2207;3018-3815;4698-4907;5328-5693;;6202-6210
Cupressus sempervirens L.;L1_Cupressus_sempervirens_seq2;L1_seq2;6122;;238-570;;1455-2147;2958-3755;4638-4847;5268-5633;;6114-6122
Cupressus sempervirens L.;L1_Cupressus_sempervirens_seq3;L1_seq3;6040;;311-718;;1498-2175;3001-3798;4630-4890;5308-5676;;6029-6040
Cupressus sempervirens L.;L1_Cupressus_sempervirens_seq4;L1_seq4;6029;;322-729;;1798-2205;3010-3807;4690-4899;5316-5684;;6028-6029
Cryptomeria japonica (Thunb. ex L.) D.Don;L1_Cryptomeria_japonica_seq1;L1_seq1;5158;;326-760;;1644-2333;3112-3906;4687-4935;;;5143-5158
Cryptomeria japonica (Thunb. ex L.) D.Don;L1_Cryptomeria_japonica_seq2;L1_seq2;5986;;320-754;;﻿1744-2433;﻿3232-4026;﻿4806-5042;5349-5699;;5969-5986
Cryptomeria japonica (Thunb. ex L.) D.Don;L1_Cryptomeria_japonica_seq3;L1_seq3;6118;;260-694;;1684-2373;3172-3966;4746-4982;5289-5639;;6108-6118
Cryptomeria japonica (Thunb. ex L.) D.Don;L1_Cryptomeria_japonica_seq4;L1_seq4;5382;;315-749;;﻿1646-2329;﻿3156-3932;﻿4101-4277;4662-5024;;5376-5382
Vitis vinifera L.;L1_Vitis_vinifera_seq1;L1_seq1;4153;;;;412-1059;1849-2661;3463-3714;;;4138-4153
Vitis vinifera L.;L1_Vitis_vinifera_seq2;L1_seq2;5960;;377-814;;2185-2853;3658-4461;5266-5517;;;5947-5960
Vitis vinifera L.;L1_Vitis_vinifera_seq3;L1_seq3;6468;;575-1018;;2397-3074;3864-4667;5469-5720;;;6456-6468
Vitis vinifera L.;L1_Vitis_vinifera_seq4;L1_seq4;6023;;385-825;;2231-2821;3721-4521;5319-5570;;;6006-6023
Vitis vinifera L.;L1_Vitis_vinifera_seq5;L1_seq5;5499;;338-661;;2043-2726;3634-4341;5146-5376;;;5490-5499
Amborella trichopoda Baill.;L1_Amborella_trichopoda_seq1;L1_seq1;5058;;;;1088-1378;2176-2961;3899-4018;4399-4758;;5039-5058
Amborella trichopoda Baill.;L1_Amborella_trichopoda_seq2;L1_seq2;5082;;;;1060-1377;2170-2961;3845-4006;4389-4463;;5073-5082
Amborella trichopoda Baill.;L1_Amborella_trichopoda_seq3;L1_seq3;6147;;;;1021-1443;2481-3275;4082-4276;;;6120-6147
Amborella trichopoda Baill.;L1_Amborella_trichopoda_seq4;L1_seq4;4360;;;;603-719;1459-2256;3063-3326;3699-4058;;4350-4360
Amborella trichopoda Baill.;L1_Amborella_trichopoda_seq5;L1_seq5;6873;;153-485;;2390-3001;3861-4658;5751-5855;6228-6587;;6863-6873
Amborella trichopoda Baill.;RTE_Amborella_trichopoda_seq1;RTE_seq1;2921;;;;440-1156;1993-2730;;;;2908-2921
Amborella trichopoda Baill.;RTE_Amborella_trichopoda_seq2;RTE_seq2;4412;;;;438-956;2055-2711;;;;4398-4412
Amborella trichopoda Baill.;RTE_Amborella_trichopoda_seq3;RTE_seq3;3386;;;;537-1019;2089-2775;;;;3377-3386
Nymphaea colorata Peter;L1_Nymphaea_colorata_seq1;L1_seq1;5880;;343-756;;1779-2189;3235-4032;4795-5046;5374-5733;;5869-5880
Nymphaea colorata Peter;L1_Nymphaea_colorata_seq2;L1_seq2;5355;;253-645;;1861-2289;3087-3878;4632-4865;;;5347-5355
Nymphaea colorata Peter;L1_Nymphaea_colorata_seq3;L1_seq3;5218;;352-531;;1550-2215;3013-3804;4564-4809;;;5213-5218
Nymphaea colorata Peter;L1_Nymphaea_colorata_seq4;L1_seq4;5054;;296-739;;1675-2364;3154-3948;4712-4942;;;5046-5054
Magnolia amoena W.C.Cheng;L1_Magnolia_amoena_seq1;L1_seq1;6232;259-477;992-1168;;2490-3158;3964-4761;5565-5816;;;6222-6232
Magnolia amoena W.C.Cheng;L1_Magnolia_amoena_seq2;L1_seq2;6266;260-478;758-1174;;"2917-3201; 2511-2870";3981-4778;5581-5823;;;6253-6266
Magnolia amoena W.C.Cheng;L1_Magnolia_amoena_seq3;L1_seq3;6327;311-460;744-1163;;2496-2843;3964-4761;5560-5778;;;6312-6327
Magnolia amoena W.C.Cheng;L1_Magnolia_amoena_seq4;L1_seq4;6201;336-554;814-1224;;"2800-3174; 2496-2753";3964-4761;5561-5818;;;6184-6201
Magnolia amoena W.C.Cheng;L1_Magnolia_amoena_seq5;L1_seq5;6333;205-426;1001-1189;;2611-3300;4084-4881;5687-5941;;;6325-6333
Houttuynia cordata Thunb.;RTE_Hottuynia_cordata_seq1;RTE_seq1;3469;;;;360-935;1752-2510;;;;3457-3469
Houttuynia cordata Thunb.;RTE_Hottuynia_cordata_seq2;RTE_seq2;2988;;;;249-881;1792-2541;;;;2979-2988
Houttuynia cordata Thunb.;RTE_Hottuynia_cordata_seq3;RTE_seq3;2380;;;;313-783;1603-2241;;;;2356-2380
Acorus gramineus Aiton;L1_Acorus_gramineus_seq1;L1_seq1;3932;;;;170-751;1639-2421;3227-3490;;;3920-3932
Acorus gramineus Aiton;L1_Acorus_gramineus_seq2;L1_seq2;3886;;;;361-1038;1825-2622;3428-3640;;;3874-3886
Acorus gramineus Aiton;L1_Acorus_gramineus_seq3;L1_seq3;4181;;;;296-976;1773-2558;3362-3613;;;4172-4181
Acorus gramineus Aiton;L1_Acorus_gramineus_seq4;L1_seq4;3961;;;;195-344;1638-2435;3306-3488;;;3946-3961
Chionographis japonica (Willd.) Maxim.;L1_Chionographis_japonica_seq1;L1_seq1;5825;;403-810;868-957;1680-2363;3141-3947;4719-4997;5295-5654;;5809-5825
Chionographis japonica (Willd.) Maxim.;L1_Chionographis_japonica_seq2;L1_seq2;5903;;456-884;942-1031;1757-2440;3218-4024;4799-5077;5375-5734;;5888-5903
Chionographis japonica (Willd.) Maxim.;L1_Chionographis_japonica_seq3;L1_seq3;5827;;395-802;875-949;1675-2358;3141-3947;4719-4997;5295-5654;;5810-5827
Dendrobium nobile Lindl.;RTE_Dendrobium_nobile_seq1;RTE_seq1;3666;;;;384-1100;1935-2681;;;3245-3265;3657-3666
Dendrobium nobile Lindl.;RTE_Dendrobium_nobile_seq2;RTE_seq2;3796;;;;394-1110;1935-2681;;;3245-3259;3787-3796
Dendrobium nobile Lindl.;RTE_Dendrobium_nobile_seq3;RTE_seq3;3726;;;;444-1160;1995-2741;;;3305-3325;3717-3726
Phoenix dactylifera L.;L1_Phoenix_dactylifera_seq1;L1_seq1;4307;;;;196-813;1606-2412;3223-3426;3778-4119;;4277-4307
Phoenix dactylifera L.;L1_Phoenix_dactylifera_seq2;L1_seq2;4462;;;;171-845;1638-2408;3254-3457;3809-4171;;4451-4462
Phoenix dactylifera L.;L1_Phoenix_dactylifera_seq3;L1_seq3;4425;;;;244-933;1726-2532;3343-3546;3898-4239;;4399-4425
Phoenix dactylifera L.;L1_Phoenix_dactylifera_seq4;L1_seq4;4541;;;;336-1025;1818-2624;3414-3644;3990-4340;;4479-4541
Aechmea fasciata (Lindl.) Baker;L1_Aechmea_fasciata_seq1;L1_seq1;3981;;;;250-933;1750-2541;3343-3594;;;3964-3981
Aechmea fasciata (Lindl.) Baker;L1_Aechmea_fasciata_seq2;L1_seq2;4027;;;;313-996;1810-2601;3395-3646;;;4001-4027
Aechmea fasciata (Lindl.) Baker;L1_Aechmea_fasciata_seq3;L1_seq3;3961;;;;211-897;1690-2481;3274-3525;;;3950-3961
Aechmea fasciata (Lindl.) Baker;L1_Aechmea_fasciata_seq4;L1_seq4;4099;;;;331-1017;1810-2601;3396-3647;;;4082-4099
Eleocharis geniculata L. Roem. & Schult.;L1_Eleocharis_geniculata_seq1;L1_seq1;4492;;;;566-1129;2412-3203;3960-4136;;;4483-4492
Eleocharis geniculata L. Roem. & Schult.;L1_Eleocharis_geniculata_seq2;L1_seq2;4672;;;;746-1309;2592-3383;4140-4316;;;4663-4672
Eleocharis geniculata L. Roem. & Schult.;L1_Eleocharis_geniculata_seq3;L1_seq3;4368;;;;567-1250;2042-2835;3613-3846;;;4358-4368
Eleocharis geniculata L. Roem. & Schult.;RTE_Eleocharis_geniculata_seq1;RTE_seq1;4278;;;;747-1463;2292-3041;;;3843-3860;4271-4278
Eleocharis geniculata L. Roem. & Schult.;RTE_Eleocharis_geniculata_seq2;RTE_seq2;5201;;;;967-1683;2512-3249;;;3820-3831;5187-5201
Eleocharis geniculata L. Roem. & Schult.;RTE_Eleocharis_geniculata_seq4;RTE_seq4;3787;;;;645-1223;2052-2801;;;3592-3612;3772-3787
Rhynchospora breviuscula H.Pfeiff.;RTE_Rhynchospora_breviuscula_seq1;RTE_seq1;4222;;;;370-1086;1912-2460;;;3514-3531;4201-4222
Rhynchospora breviuscula H.Pfeiff.;RTE_Rhynchospora_breviuscula_seq2;RTE_seq2;3735;;;;430-1146;1972-2676;;;3622-3636;3724-3735
Rhynchospora breviuscula H.Pfeiff.;RTE_Rhynchospora_breviuscula_seq3;RTE_seq3;4001;;;;470-1186;2012-2761;;;3690-3701;3989-4001
Rhynchospora rugosa (Vahl) Gale;L1_Rhynchospora_rugosa_seq1;L1_seq1;6063;;451-855;859-990;1602-2297;3078-3884;4662-4940;5280-5645;;6046-6063
Rhynchospora rugosa (Vahl) Gale;L1_Rhynchospora_rugosa_seq2;L1_seq2;4312;;;;643-1329;2113-2901;3658-3912;;;4294-4312
Rhynchospora rugosa (Vahl) Gale;L1_Rhynchospora_rugosa_seq3;L1_seq3;4358;;;;634-1320;2110-2901;3658-3903;;;4346-4358
Rhynchospora rugosa (Vahl) Gale;L1_Rhynchospora_rugosa_seq4;L1_seq4;4433;;;;637-1323;2110-2901;3658-3912;;;4420-4433
Juncus effusus L.;L1_Juncus_effusus_seq1;L1_seq1;5769;;;;1095-1769;2558-3337;3891-4142;;;5760-5769
Juncus effusus L.;L1_Juncus_effusus_seq2;L1_seq2;4380;;;;836-1516;2312-3091;3653-3904;;;4370-4380
Juncus effusus L.;L1_Juncus_effusus_seq3;L1_seq3;5081;;;;1147-1728;2612-3385;4172-4420;;;5073-5081
Juncus effusus L.;L1_Juncus_effusus_seq5;L1_seq5;6061;;;;1080-1760;2561-3331;4107-4328;;;6051-6061
Luzula sylvatica (Huds.) Gaudin;L1_Luzula_sylvatica_seq1;L1_seq1;5493;;;;972-1643;2436-3221;4014-4265;;;5478-5493
Luzula sylvatica (Huds.) Gaudin;L1_Luzula_sylvatica_seq2;L1_seq2;6575;;;;1757-2416;3221-4006;4799-5038;;;6557-6575
Luzula sylvatica (Huds.) Gaudin;L1_Luzula_sylvatica_seq3;L1_seq3;5304;;;;1203-1856;2667-3284;4250-4486;;;5292-5304
Oryza sativa L.;L1_Oryza_sativa_seq1;L1_seq1;4434;;;;837-1211;2046-2645;3621-3866;;;4424-4434
Oryza sativa L.;L1_Oryza_sativa_seq2;L1_seq2;4975;;;;1125-1802;2607-3401;4183-4428;;;4964-4975
Oryza sativa L.;L1_Oryza_sativa_seq3;L1_seq3;4884;;;;1065-1742;2547-3341;4123-4368;;;4874-4884
Aegilops umbellulata Zhuk.;L1_Aegilops_umbellulata_seq1;L1_seq1;4697;;;;268-948;1993-2781;3658-3810;;;4692-4697
Aegilops umbellulata Zhuk.;L1_Aegilops_umbellulata_seq2;L1_seq2;4122;;;;268-942;1747-2541;3304-3549;;;4114-4122
Aegilops umbellulata Zhuk.;L1_Aegilops_umbellulata_seq3;L1_seq3;4697;;;;267-686;1993-2781;3658-3810;;;4692-4697
Triticum turgidum L.;RTE_Triticum_turgidum_seq1;RTE_seq1;4336;;;;570-1286;2112-2861;;;3471-3488;4326-4336
Triticum turgidum L.;RTE_Triticum_turgidum_seq2;RTE_seq2;3255;;;;173-889;1715-2464;;;3074-3091;3242-3255
Triticum turgidum L.;RTE_Triticum_turgidum_seq3;RTE_seq3;3820;;;;412-1032;1955-2704;;;3314-3337;3812-3820
Zea mays L.;L1_Zea_mays_seq1;L1_seq1;7112;;330-731;735-881;1742-2431;3221-4030;4796-5089;5882-6238;;7097-7112
Zea mays L.;L1_Zea_mays_seq2;L1_seq2;4943;;;;242-931;1721-2512;3337-3495;;;4933-4943
Zea mays L.;L1_Zea_mays_seq3;L1_seq3;4233;;;;291-980;1770-2561;3291-3542;;;4221-4233
Zea mays L.;L1_Zea_mays_seq4;L1_seq4;4638;;;;291-980;1770-2561;3291-3542;;;4627-4638
Zea mays L.;L1_Zea_mays_seq5;L1_seq5;5817;;250-651;655-801;1662-2351;3141-3950;4715-5008;5312-5677;;5810-5817
Sorghum bicolor (L.) Moench;L1_Sorghum_bicolor_seq1;L1_seq1;5384;;;;773-1306;2195-2989;3770-4012;;;5374-5384
Sorghum bicolor (L.) Moench;L1_Sorghum_bicolor_seq2;L1_seq2;5264;;;;653-1186;2075-2869;3650-3892;;;5253-5264
Sorghum bicolor (L.) Moench;L1_Sorghum_bicolor_seq3;L1_seq3;4317;;;;528-1205;2007-2801;3582-3815;;;4307-4317
Sorghum bicolor (L.) Moench;L1_Sorghum_bicolor_seq4;L1_seq4;4377;;;;588-1265;2067-2861;3642-3875;;;4367-4377
Tetracentron sinense Oliv.;L1_Tetracentron_sinense_seq1;L1_seq1;4339;;;;597-1283;2073-2861;3663-3914;;;4328-4339
Tetracentron sinense Oliv.;L1_Tetracentron_sinense_seq3;L1_seq3;4579;;;;837-1523;2313-3101;3903-4154;;;4568-4579
Tetracentron sinense Oliv.;L1_Tetracentron_sinense_seq4;L1_seq4;4566;;;;837-1523;2313-3101;3903-4133;;;4558-4566
Rhodiola kirilowii (Regel) Maxim.;L1_Rhodiola_kirilowii_seq1;L1_seq1;5634;;391-762;880-975;1680-2078;3138-3947;4503-4796;5100-5462;;5624-5634
Rhodiola kirilowii (Regel) Maxim.;L1_Rhodiola_kirilowii_seq2;L1_seq2;5605;;399-803;;1781-2179;3138-3947;4502-4777;5099-5461;;5600-5605
Rhodiola kirilowii (Regel) Maxim.;L1_Rhodiola_kirilowii_seq3;L1_seq3;5733;;406-843;;1794-2195;3258-4067;4623-4916;5223-5588;;5724-5733
Rhodiola kirilowii (Regel) Maxim.;L1_Rhodiola_kirilowii_seq5;L1_seq5;5679;;251-673;737-811;1717-2112;3175-3984;4540-4830;5140-5505;;5671-5679
Oxalis stricta L.;RTE_Oxalis_stricta_seq1;RTE_seq1;4474;;;;513-1229;2052-2804;;;3601-3612;4458-4474
Oxalis stricta L.;RTE_Oxalis_stricta_seq2;RTE_seq2;5073;;;;513-1226;2052-2804;;;3587-3610;5063-5073
Oxalis stricta L.;RTE_Oxalis_stricta_seq3;RTE_seq3;4683;;;;573-1286;2112-2864;;;3647-3670;4676-4683
Oxalis stricta L.;RTE_Oxalis_stricta_seq4;RTE_seq4;4473;;;;514-1230;2053-2805;;;;4459-4473
Cannabis sativa L.;L1_Cannabis_sativa_seq1;L1_seq1;5925;;209-460;;2074-2757;3547-4341;5158-5319;;;5919-5925
Cannabis sativa L.;L1_Cannabis_sativa_seq2;L1_seq2;5355;;173-583;587-730;1246-1932;2695-3504;4279-4548;4861-5226;;5341-5355
Cannabis sativa L.;L1_Cannabis_sativa_seq3;L1_seq3;5347;;178-585;592-738;1272-1958;2721-3527;4272-4532;4854-5219;;5328-5347
Cannabis sativa L.;L1_Cannabis_sativa_seq4;L1_seq4;5672;;299-706;710-856;1366-2052;2815-3624;4399-4659;4981-5346;;5639-5672
Acacia confusa Merr.;L1_Acacia_confusa_seq1;L1_seq1;6040;;292-669;673-798;1962-2327;3355-4161;4918-5175;5518-5874;;6022-6040
Acacia confusa Merr.;L1_Acacia_confusa_seq2;L1_seq2;6344;;335-730;;2241-2663;3441-4247;5025-5282;5622-5951;;6325-6344
Acacia confusa Merr.;L1_Acacia_confusa_seq3;L1_seq3;5277;;278-712;716-844;1620-2294;3078-3884;4657-4914;;;5267-5277
Acacia confusa Merr.;L1_Acacia_confusa_seq4;L1_seq4;6342;;260-667;671-796;1881-2312;3321-4127;4906-5163;5503-5862;;6330-6342
Vigna unguiculata subsp. sesquipedalis L. Verdc.;L1_Vigna_unguiculata_seq2;L1_seq2;4666;;;;400-1110;2021-2689;3506-3766;;;4653-4666
Vigna unguiculata subsp. sesquipedalis L. Verdc.;L1_Vigna_unguiculata_seq3;L1_seq3;4482;;;;422-1054;1841-2638;3455-3715;;;4472-4482
Vigna unguiculata subsp. sesquipedalis L. Verdc.;L1_Vigna_unguiculata_seq4;L1_seq4;6394;365-577;780-1190;;2518-2802;4001-4798;5613-5789;;;6382-6394
Eucalyptus globulus Labill.;L1_Eucalyptus_globulus_seq2;L1_seq2;5596;;426-836;;1702-2397;3193-3990;4744-4995;;;5579-5596
Eucalyptus globulus Labill.;L1_Eucalyptus_globulus_seq3;L1_seq3;5718;;443-853;;1822-2517;3316-4110;4864-5097;;;5701-5718
Eucalyptus globulus Labill.;L1_Eucalyptus_globulus_seq4;L1_seq4;5584;;440-838;;1707-2402;3198-3995;4746-4997;;;5573-5584
Eucalyptus globulus Labill.;L1_Eucalyptus_globulus_seq5;L1_seq5;5789;;561-992;;1882-2577;3376-4170;4924-5175;;;5780-5789
Acer campestre L.;L1_Acer_campestre_seq2;L1_seq2;5934;;295-732;;1710-2396;3201-3992;4761-4994;5367-5729;;5914-5934
Acer campestre L.;L1_Acer_campestre_seq3;L1_seq3;5861;;217-654;;1642-2328;3133-3924;4693-4926;5384-5662;;5848-5861
Acer campestre L.;L1_Acer_campestre_seq4;L1_seq4;6197;;248-679;683-811;1740-2414;3201-4004;4785-5039;5361-5723;;6186-6197
Acer campestre L.;L1_Acer_campestre_seq5;L1_seq5;5821;;257-667;671-799;1764-2171;3118-3921;4702-4956;5278-5640;;5808-5821
Acer campestre L.;L1_Acer_campestre_seq6;L1_seq6;5989;;310-741;745-870;1798-2472;3258-4064;4845-5099;5421-5783;;5982-5989
Arabidopsis thaliana (L.) Heynh.;L1_Arabidopsis_thaliana_seq1;L1_seq1;5815;;688-993;997-1137;1687-2091;3135-3941;4716-4991;5340-5705;;5806-5815
Arabidopsis thaliana (L.) Heynh.;L1_Arabidopsis_thaliana_seq2;L1_seq2;6482;;795-1199;1203-1343;1889-2569;3341-4147;4922-5197;5546-5911;;6463-6482
Arabidopsis thaliana (L.) Heynh.;L1_Arabidopsis_thaliana_seq3;L1_seq3;4918;;;;783-1463;2235-3041;3816-4091;4440-4805;;4908-4918
Arabidopsis thaliana (L.) Heynh.;L1_Arabidopsis_thaliana_seq4;L1_seq4;5905;;660-1085;1089-1235;1775-2197;3221-4024;4802-5086;5426-5785;;5894-5905
Gossypium hirsutum L.;L1_Gossypium_hirsutum_seq1;L1_seq1;5968;;472-876;;1505-1915;2958-3764;4536-4817;5114-5479;;5955-5968
